,Unnamed: 0,DRS,data,media_isolamento,cidade,cod_ibge
20656,20656,DRS 07 Campinas,"quarta-feira, 26/08",39.77272727272727,VALINHOS,3556206
10918,10918,DRS 07 Campinas,"quarta-feira, 27/01",38%,VALINHOS,3556206
10958,10958,DRS 07 Campinas,"quarta-feira, 27/01",37.72727272727273,VALINHOS,3556206
26348,26348,DRS 07 Campinas,"quarta-feira, 27/05",48%,VALINHOS,3556206
26388,26388,DRS 07 Campinas,"quarta-feira, 27/05",45.13636363636363,VALINHOS,3556206
5225,5225,DRS 07 Campinas,"quarta-feira, 28/04",38.95454545454545,VALINHOS,3556206
5185,5185,DRS 07 Campinas,"quarta-feira, 28/04",39%,VALINHOS,3556206
16651,16651,DRS 07 Campinas,"quarta-feira, 28/10",38%,VALINHOS,3556206
16691,16691,DRS 07 Campinas,"quarta-feira, 28/10",37.59090909090909,VALINHOS,3556206
28112,28112,DRS 07 Campinas,"quarta-feira, 29/04",46%,VALINHOS,3556206
28152,28152,DRS 07 Campinas,"quarta-feira, 29/04",46.81818181818182,VALINHOS,3556206
22419,22419,DRS 07 Campinas,"quarta-feira, 29/07",40.54545454545455,VALINHOS,3556206
22379,22379,DRS 07 Campinas,"quarta-feira, 29/07",41%,VALINHOS,3556206
1216,1216,DRS 07 Campinas,"quarta-feira, 30/06",36%,VALINHOS,3556206
1256,1256,DRS 07 Campinas,"quarta-feira, 30/06",37.63636363636363,VALINHOS,3556206
18412,18412,DRS 07 Campinas,"quarta-feira, 30/09",37%,VALINHOS,3556206
18452,18452,DRS 07 Campinas,"quarta-feira, 30/09",37.714285714285715,VALINHOS,3556206
12682,12682,DRS 07 Campinas,"quarta-feira, 30/12",39%,VALINHOS,3556206
12722,12722,DRS 07 Campinas,"quarta-feira, 30/12",40.40909090909091,VALINHOS,3556206
6989,6989,DRS 07 Campinas,"quarta-feira, 31/03",40.09090909090909,VALINHOS,3556206
6949,6949,DRS 07 Campinas,"quarta-feira, 31/03",39%,VALINHOS,3556206
6926,6926,DRS 07 Campinas,"quinta-feira, 01/04",40.13636363636363,VALINHOS,3556206
6886,6886,DRS 07 Campinas,"quinta-feira, 01/04",39%,VALINHOS,3556206
1193,1193,DRS 07 Campinas,"quinta-feira, 01/07",38.86363636363637,VALINHOS,3556206
1153,1153,DRS 07 Campinas,"quinta-feira, 01/07",38%,VALINHOS,3556206
18350,18350,DRS 07 Campinas,"quinta-feira, 01/10",37%,VALINHOS,3556206
18390,18390,DRS 07 Campinas,"quinta-feira, 01/10",38.27272727272727,VALINHOS,3556206
29813,29813,DRS 07 Campinas,"quinta-feira, 02/04",56%,VALINHOS,3556206
29853,29853,DRS 07 Campinas,"quinta-feira, 02/04",52.31818181818182,VALINHOS,3556206
24120,24120,DRS 07 Campinas,"quinta-feira, 02/07",42.59090909090909,VALINHOS,3556206
24080,24080,DRS 07 Campinas,"quinta-feira, 02/07",45%,VALINHOS,3556206
2917,2917,DRS 07 Campinas,"quinta-feira, 03/06",46%,VALINHOS,3556206
2957,2957,DRS 07 Campinas,"quinta-feira, 03/06",46.54545454545455,VALINHOS,3556206
20112,20112,DRS 07 Campinas,"quinta-feira, 03/09",38%,VALINHOS,3556206
20152,20152,DRS 07 Campinas,"quinta-feira, 03/09",38.90909090909091,VALINHOS,3556206
14423,14423,DRS 07 Campinas,"quinta-feira, 03/12",38.18181818181818,VALINHOS,3556206
14383,14383,DRS 07 Campinas,"quinta-feira, 03/12",37%,VALINHOS,3556206
10454,10454,DRS 07 Campinas,"quinta-feira, 04/02",37.40909090909091,VALINHOS,3556206
