,Municipio,area,Populacao_Estimada,Densidade_Demográfica,Mortalidade_Infantil,Despesas_empenhadas,PIB,Código IBGE,Indice s/ Acento,Indice c/ acento,Município com acento,Municipio Sem Acento,DRS
520,SANTA ERNESTINA,134.421,5588,41.42,16.95,1.714.222.391,16537.75,3546504,522,514,SANTA ERNESTINA,SANTA ERNESTINA,DRS 03 Araraquara
521,SANTA FÉ DO SUL,206.537,32563,141.81,6.90,14.327.066.428,33819.05,3546603,523,515,SANTA FÉ DO SUL,SANTA FE DO SUL,DRS 15 São José do Rio Preto
522,SANTA GERTRUDES,98.291,27381,220.1,3.16,9.570.211.402,67000.11,3546702,524,516,SANTA GERTRUDES,SANTA GERTRUDES,DRS 10 Piracicaba
523,SANTA ISABEL,363.332,57966,138.87,9.75,13.902.052.821,27752.63,3546801,525,517,SANTA ISABEL,SANTA ISABEL,DRS 01 Grande São Paulo
524,SANTA LÚCIA,153.860,8854,53.55,20.20,1.796.846.151,13080.61,3546900,526,518,SANTA LÚCIA,SANTA LUCIA,DRS 03 Araraquara
525,SANTA MARIA DA SERRA,252.621,6236,21.43,12.35,1.858.887.639,21876.38,3547007,527,519,SANTA MARIA DA SERRA,SANTA MARIA DA SERRA,DRS 10 Piracicaba
526,SANTA MERCEDES,166.753,2943,16.96,27.03,1.355.866.328,22641.73,3547106,528,520,SANTA MERCEDES,SANTA MERCEDES,DRS 11 Presidente Prudente
527,SANTANA DA PONTE PENSA,129.888,1467,12.6,111.11,1.113.800.382,23521.23,3547205,533,525,SANTANA DA PONTE PENSA,SANTANA DA PONTE PENSA,DRS 15 São José do Rio Preto
528,SANTANA DE PARNAÍBA,179.949,142301,604.74,8.32,6.943.226.095,67650.64,3547304,534,526,SANTANA DE PARNAÍBA,SANTANA DE PARNAIBA,DRS 01 Grande São Paulo
529,SANTA RITA D'OESTE,209.800,2487,12.1,52.63,1.555.707.891,25305.72,3547403,529,521,SANTA RITA D'OESTE,SANTA RITA D'OESTE,DRS 15 São José do Rio Preto
530,SANTA RITA DO PASSA QUATRO,754.141,27600,35.11,20.16,7.946.384.533,24132.89,3547502,530,522,SANTA RITA DO PASSA QUATRO,SANTA RITA DO PASSA QUATRO,DRS 13 Ribeirão Preto
531,SANTA ROSA DE VITERBO,288.576,26753,82.69,8.20,6.103.555.143,26438.67,3547601,531,523,SANTA ROSA DE VITERBO,SANTA ROSA DE VITERBO,DRS 13 Ribeirão Preto
532,SANTA SALETE,79.192,1552,18.23,-,1.288.079.665,23375.01,3547650,532,524,SANTA SALETE,SANTA SALETE,DRS 15 São José do Rio Preto
533,SANTO ANASTÁCIO,552.876,20866,37.06,22.83,4.406.392.075,19766.77,3547700,535,527,SANTO ANASTÁCIO,SANTO ANASTACIO,DRS 11 Presidente Prudente
534,SANTO ANDRÉ,175.782,721368,3848.01,7.59,230.185.231.093,40489.21,3547809,536,528,SANTO ANDRÉ,SANTO ANDRE,DRS 01 Grande São Paulo
535,SANTO ANTÔNIO DA ALEGRIA,310.311,6977,20.32,25.64,2.201.369.989,18953.27,3547908,537,529,SANTO ANTÔNIO DA ALEGRIA,SANTO ANTONIO DA ALEGRIA,DRS 13 Ribeirão Preto
536,SANTO ANTÔNIO DE POSSE,154.133,23529,134.09,15.27,7.699.472.169,48880.01,3548005,538,530,SANTO ANTÔNIO DE POSSE,SANTO ANTONIO DE POSSE,
537,SANTO ANTÔNIO DO ARACANGUÁ,1.308.432,8481,5.83,29.13,4.116.792.738,24823.67,3548054,539,531,SANTO ANTÔNIO DO ARACANGUÁ,SANTO ANTONIO DO ARACANGUA,DRS 02 Araçatuba
538,SANTO ANTÔNIO DO JARDIM,109.956,5940,54.05,39.22,1.622.615.253,25307.38,3548104,540,532,SANTO ANTÔNIO DO JARDIM,SANTO ANTONIO DO JARDIM,DRS 14 São João da Boa Vista
539,SANTO ANTÔNIO DO PINHAL,133.008,6827,48.76,21.51,2.484.380.549,16258.73,3548203,541,533,SANTO ANTÔNIO DO PINHAL,SANTO ANTONIO DO PINHAL,DRS 17 Taubaté
540,SANTO EXPEDITO,94.465,3135,29.68,30.30,116.784.444,12372.99,3548302,542,534,SANTO EXPEDITO,SANTO EXPEDITO,DRS 11 Presidente Prudente
541,SANTÓPOLIS DO AGUAPEÍ,128.026,4817,33.44,16.95,1.449.899.071,14856.83,3548401,543,536,SANTÓPOLIS DO AGUAPEÍ,SANTOPOLIS DO AGUAPEI,DRS 02 Araçatuba
542,SANTOS,281.033,433656,1494.26,09.02,2.489.780.313,51915.03,3548500,544,535,SANTOS,SANTOS,DRS 04 Baixada Santista
543,SÃO BENTO DO SAPUCAÍ,252.579,10893,41.37,8.20,2.964.338.366,18725.82,3548609,545,553,SÃO BENTO DO SAPUCAÍ,SAO BENTO DO SAPUCAI,DRS 17 Taubaté
544,SÃO BERNARDO DO CAMPO,409.532,844483,1869.36,9.29,357.482.853.686,60689.23,3548708,546,554,SÃO BERNARDO DO CAMPO,SAO BERNARDO DO CAMPO,DRS 01 Grande São Paulo
545,SÃO CAETANO DO SUL,15.331,161957,9736.03,6.54,115.817.091.112,83860.42,3548807,547,555,SÃO CAETANO DO SUL,SAO CAETANO DO SUL,DRS 01 Grande São Paulo
546,SÃO CARLOS,1.136.907,254484,195.15,7.74,71.903.629.493,44796.83,3548906,548,556,SÃO CARLOS,SAO CARLOS,DRS 03 Araraquara
547,SÃO FRANCISCO,75.579,2817,36.94,51.28,1.437.734.253,16925.04,3549003,549,557,SÃO FRANCISCO,SAO FRANCISCO,DRS 15 São José do Rio Preto
548,SÃO JOÃO DA BOA VISTA,516.399,91771,161.96,15.97,31.394.732.844,34522.54,3549102,550,564,SÃO JOÃO DA BOA VISTA,SAO JOAO DA BOA VISTA,DRS 14 São João da Boa Vista
549,SÃO JOÃO DAS DUAS PONTES,129.462,2561,19.84,33.33,136.876.726,17241.57,3549201,551,565,SÃO JOÃO DAS DUAS PONTES,SAO JOAO DAS DUAS PONTES,DRS 15 São José do Rio Preto
550,SÃO JOÃO DE IRACEMA,178.396,1932,9.97,153.85,1.481.882.878,17697.63,3549250,552,566,SÃO JOÃO DE IRACEMA,SAO JOAO DE IRACEMA,DRS 15 São José do Rio Preto
551,SÃO JOÃO DO PAU D'ALHO,117.665,2100,17.86,43.48,1.226.472.769,21896.43,3549300,553,567,SÃO JOÃO DO PAU D'ALHO,SAO JOAO DO PAU D'ALHO,DRS 11 Presidente Prudente
552,SÃO JOAQUIM DA BARRA,410.863,52319,113.28,8.53,11.725.073.056,33011.12,3549409,554,558,SÃO JOAQUIM DA BARRA,SAO JOAQUIM DA BARRA,DRS 08 Franca
553,SÃO JOSÉ DA BELA VISTA,276.952,8960,30.35,21.28,2.692.364.328,18219.25,3549508,555,559,SÃO JOSÉ DA BELA VISTA,SAO JOSE DA BELA VISTA,DRS 08 Franca
554,SÃO JOSÉ DO BARREIRO,570.685,4144,7.14,24.39,1.763.631.202,12761.63,3549607,556,560,SÃO JOSÉ DO BARREIRO,SAO JOSE DO BARREIRO,DRS 17 Taubaté
555,SÃO JOSÉ DO RIO PARDO,419.684,55124,123.81,5.67,16.263.164.764,33227.23,3549706,557,561,SÃO JOSÉ DO RIO PARDO,SAO JOSE DO RIO PARDO,DRS 14 São João da Boa Vista
556,SÃO JOSÉ DO RIO PRETO,431.944,464983,945.12,8.42,148.508.901.712,38449.7,3549805,558,562,SÃO JOSÉ DO RIO PRETO,SAO JOSE DO RIO PRETO,DRS 15 São José do Rio Preto
557,SÃO JOSÉ DOS CAMPOS,1.099.409,729737,572.96,9.34,243.945.695.088,55603.18,3549904,559,563,SÃO JOSÉ DOS CAMPOS,SAO JOSE DOS CAMPOS,DRS 17 Taubaté
558,SÃO LOURENÇO DA SERRA,186.456,15978,74.99,4.95,3.717.015.235,13319.9,3549953,560,568,SÃO LOURENÇO DA SERRA,SAO LOURENCO DA SERRA,DRS 01 Grande São Paulo
559,SÃO LUIZ DO PARAITINGA,617.315,10690,16.84,8.26,3.233.016.485,15394.97,3550001,561,569,SÃO LUIZ DO PARAITINGA,SAO LUIZ DO PARAITINGA,DRS 17 Taubaté
560,SÃO MANUEL,650.734,41123,58.92,9.54,1.142.406.622,29556.56,3550100,562,570,SÃO MANUEL,SAO MANUEL,DRS 06 Bauru
561,SÃO MIGUEL ARCANJO,930.339,33002,33.8,14.22,7.310.570.149,20727.11,3550209,563,571,SÃO MIGUEL ARCANJO,SAO MIGUEL ARCANJO,DRS 16 Sorocaba
562,SÃO PAULO,1.521.110,12325232,7398.26,11.19,5.141.402.907.708,58691.9,3550308,564,572,SÃO PAULO,SAO PAULO,DRS 01 Grande São Paulo
563,SÃO PEDRO,611.278,35980,51.98,4.68,10.885.813.408,21316.77,3550407,565,573,SÃO PEDRO,SAO PEDRO,DRS 10 Piracicaba
564,SÃO PEDRO DO TURVO,731.221,7696,9.84,23.26,2.589.361.321,23834.77,3550506,566,574,SÃO PEDRO DO TURVO,SAO PEDRO DO TURVO,DRS 09 Marília
565,SÃO ROQUE,306.908,92060,256.82,13.65,23.847.189.096,33039.26,3550605,567,575,SÃO ROQUE,SAO ROQUE,DRS 16 Sorocaba
566,SÃO SEBASTIÃO,402.395,90328,185.0,7.75,64.159.319.352,43173.65,3550704,568,576,SÃO SEBASTIÃO,SAO SEBASTIAO,DRS 17 Taubaté
567,SÃO SEBASTIÃO DA GRAMA,252.410,12159,47.94,19.05,3.036.808.808,23386.39,3550803,569,577,SÃO SEBASTIÃO DA GRAMA,SAO SEBASTIAO DA GRAMA,DRS 14 São João da Boa Vista
568,SÃO SIMÃO,617.252,15385,23.24,15.04,4.886.635.085,29049.13,3550902,570,578,SÃO SIMÃO,SAO SIMAO,DRS 13 Ribeirão Preto
569,SÃO VICENTE,148.100,368355,2247.88,16.10,89.572.104.015,15006.76,3551009,571,579,SÃO VICENTE,SAO VICENTE,DRS 04 Baixada Santista
570,SARAPUÍ,352.592,10390,25.6,8.47,2.639.332.905,14289.18,3551108,572,537,SARAPUÍ,SARAPUI,DRS 16 Sorocaba
571,SARUTAIÁ,141.608,3630,25.58,17.24,1.311.647.751,16875.42,3551207,573,538,SARUTAIÁ,SARUTAIA,DRS 06 Bauru
572,SEBASTIANÓPOLIS DO SUL,167.848,3554,18.03,48.78,1.881.318.047,71224.85,3551306,574,539,SEBASTIANÓPOLIS DO SUL,SEBASTIANOPOLIS DO SUL,DRS 15 São José do Rio Preto
573,SERRA AZUL,283.144,14981,39.75,7.41,2.632.356.501,10758.97,3551405,575,540,SERRA AZUL,SERRA AZUL,DRS 13 Ribeirão Preto
574,SERRANA,126.046,45644,308.44,7.85,12.413.069.363,20663.93,3551504,577,542,SERRANA,SERRANA,DRS 13 Ribeirão Preto
575,SERRA NEGRA,203.734,29452,129.52,12.31,9.309.180.207,24910.92,3551603,576,541,SERRA NEGRA,SERRA NEGRA,DRS 07 Campinas
576,SERTÃOZINHO,403.089,127142,273.22,15.19,43.647.244.101,44163.83,3551702,578,543,SERTÃOZINHO,SERTAOZINHO,DRS 13 Ribeirão Preto
577,SETE BARRAS,1.062.699,12780,12.24,4.95,3.669.815.678,28760.76,3551801,579,544,SETE BARRAS,SETE BARRAS,DRS 12 Registro
578,SEVERÍNIA,140.460,17661,110.38,16.22,5.337.290.145,13372.83,3551900,580,545,SEVERÍNIA,SEVERINIA,DRS 05 Barretos
579,SILVEIRAS,414.782,6339,13.96,14.29,2.142.088.003,11685.72,3552007,581,546,SILVEIRAS,SILVEIRAS,DRS 17 Taubaté
580,SOCORRO,449.029,41352,81.7,12.08,9.475.396.146,21180.14,3552106,582,547,SOCORRO,SOCORRO,DRS 07 Campinas
581,SOROCABA,450.382,687357,1304.18,9.71,241.115.068.528,52169.13,3552205,583,548,SOROCABA,SOROCABA,DRS 16 Sorocaba
582,SUD MENNUCCI,594.744,7728,12.57,9.43,3.483.406.856,21694.14,3552304,584,549,SUD MENNUCCI,SUD MENNUCCI,DRS 02 Araçatuba
583,SUMARÉ,153.465,286211,1572.04,8.88,59.415.462.105,51832.02,3552403,585,550,SUMARÉ,SUMARE,DRS 07 Campinas
584,SUZANO,206.236,300559,1272.93,10.75,60.056.875.131,37835.81,3552502,587,551,SUZANO,SUZANO,DRS 01 Grande São Paulo
585,SUZANÁPOLIS,330.587,4014,10.24,27.03,2.302.492.817,64171.13,3552551,586,552,SUZANÁPOLIS,SUZANAPOLIS,DRS 02 Araçatuba
586,TABAPUÃ,345.792,12485,32.88,17.86,3.420.520.659,19073.08,3552601,588,580,TABAPUÃ,TABAPUA,DRS 15 São José do Rio Preto
587,TABATINGA,368.604,16644,39.74,14.15,3.600.723.217,15488.05,3552700,589,581,TABATINGA,TABATINGA,DRS 03 Araraquara
588,TABOÃO DA SERRA,20.388,293652,11994.31,13.30,68.760.938.547,29340.9,3552809,590,582,TABOÃO DA SERRA,TABOAO DA SERRA,DRS 01 Grande São Paulo
589,TACIBA,607.267,6329,9.41,12.35,3.417.234.895,25011.83,3552908,591,583,TACIBA,TACIBA,DRS 11 Presidente Prudente
590,TAGUAÍ,145.332,14141,74.51,21.62,3.144.380.012,19998.06,3553005,592,584,TAGUAÍ,TAGUAI,DRS 06 Bauru
591,TAIAÇU,107.059,6320,55.27,37.04,1.852.071.058,15473.51,3553104,593,585,TAIAÇU,TAIACU,DRS 05 Barretos
592,TAIÚVA,132.459,5564,41.12,34.48,1.911.440.334,20486.83,3553203,594,586,TAIÚVA,TAIUVA,DRS 05 Barretos
593,TAMBAÚ,561.788,23232,39.88,13.20,7.003.354.986,24209.88,3553302,595,587,TAMBAÚ,TAMBAU,DRS 14 São João da Boa Vista
594,TANABI,747.218,26101,32.25,04.02,6.488.793.619,35899.14,3553401,596,588,TANABI,TANABI,DRS 15 São José do Rio Preto
595,TAPIRAÍ,755.100,7766,10.61,33.71,2.254.915.523,18028.56,3553500,597,590,TAPIRAÍ,TAPIRAI,DRS 16 Sorocaba
596,TAPIRATIBA,221.891,12950,57.23,6.94,3.638.266.474,25093.84,3553609,598,589,TAPIRATIBA,TAPIRATIBA,DRS 14 São João da Boa Vista
597,TAQUARAL,53.892,2813,50.58,31.25,1.332.540.252,13710.81,3553658,599,591,TAQUARAL,TAQUARAL,DRS 05 Barretos
598,TAQUARITINGA,594.335,57364,90.95,11.01,17.250.013.688,27561.71,3553708,600,592,TAQUARITINGA,TAQUARITINGA,DRS 03 Araraquara
599,TAQUARITUBA,448.515,23256,49.71,17.36,6.714.529.949,29717.12,3553807,601,593,TAQUARITUBA,TAQUARITUBA,DRS 06 Bauru
600,TAQUARIVAÍ,231.792,5911,22.22,10.53,2.177.357.811,37750.95,3553856,602,594,TAQUARIVAÍ,TAQUARIVAI,DRS 16 Sorocaba
601,TARABAI,201.385,7540,32.78,10.42,2.100.502.729,15509.65,3553906,603,595,TARABAI,TARABAI,DRS 11 Presidente Prudente
602,TARUMÃ,302.913,15183,42.5,14.35,5.273.548.111,52291.48,3553955,604,596,TARUMÃ,TARUMA,DRS 09 Marília
603,TATUÍ,523.749,122967,205.03,12.99,29.401.376.822,33202.74,3554003,605,597,TATUÍ,TATUI,DRS 16 Sorocaba
604,TAUBATÉ,625.003,317915,445.98,12.53,108.850.718.946,55369.58,3554102,606,598,TAUBATÉ,TAUBATE,DRS 17 Taubaté
605,TEJUPÁ,296.189,4491,16.23,16.39,1.702.499.747,17508.61,3554201,607,599,TEJUPÁ,TEJUPA,DRS 06 Bauru
606,TEODORO SAMPAIO,1.555.803,23273,13.74,14.08,6.584.112.864,19004.83,3554300,608,600,TEODORO SAMPAIO,TEODORO SAMPAIO,DRS 11 Presidente Prudente
607,TERRA ROXA,221.541,9437,38.39,10.31,2.372.592.671,15136.01,3554409,609,601,TERRA ROXA,TERRA ROXA,DRS 05 Barretos
608,TIETÊ,404.396,42517,91.09,9.42,13.382.402.054,43859.26,3554508,610,602,TIETÊ,TIETE,DRS 16 Sorocaba
609,TIMBURI,196.790,2652,13.45,47.62,1.564.012.207,16512.98,3554607,611,603,TIMBURI,TIMBURI,DRS 09 Marília
610,TORRE DE PEDRA,71.348,2422,31.59,40.00,118.465.287,12505.12,3554656,612,604,TORRE DE PEDRA,TORRE DE PEDRA,DRS 06 Bauru
611,TORRINHA,315.267,10056,29.59,19.42,220.238.828,20407.61,3554706,613,605,TORRINHA,TORRINHA,DRS 06 Bauru
612,TRABIJU,63.421,1738,24.35,142.86,1.094.536.461,23765.75,3554755,614,606,TRABIJÚ,TRABIJU,DRS 03 Araraquara
613,TREMEMBÉ,191.094,47714,214.17,11.95,11.371.491.882,16194.84,3554805,615,607,TREMEMBÉ,TREMEMBE,DRS 17 Taubaté
614,TRÊS FRONTEIRAS,151.594,5832,35.9,12.50,1.719.962.123,18493.07,3554904,616,608,TRÊS FRONTEIRAS,TRES FRONTEIRAS,DRS 15 São José do Rio Preto
615,TUIUTI,126.731,6977,46.8,18.87,1.814.940.958,20003.02,3554953,617,609,TUIUTI,TUIUTI,DRS 07 Campinas
616,TUPÃ,627.986,65570,100.99,15.03,14.530.654.681,27412.94,3555000,618,611,TUPÃ,TUPA,DRS 09 Marília
617,TUPI PAULISTA,244.770,15583,58.16,18.18,3.895.097.427,17786.01,3555109,619,610,TUPI PAULISTA,TUPI PAULISTA,DRS 11 Presidente Prudente
618,TURIÚBA,153.235,2020,12.6,71.43,1.559.311.808,20889.9,3555208,620,612,TURIÚBA,TURIUBA,DRS 02 Araçatuba
619,TURMALINA,147.797,1696,13.37,90.91,1.456.755.513,31849.8,3555307,621,613,TURMALINA,TURMALINA,DRS 15 São José do Rio Preto
620,UBARANA,209.861,6400,25.23,10.87,2.417.093.582,50883.11,3555356,622,614,UBARANA,UBARANA,DRS 15 São José do Rio Preto
621,UBATUBA,708.105,91824,108.87,14.15,29.815.669.047,23826.8,3555406,623,615,UBATUBA,UBATUBA,DRS 17 Taubaté
622,UBIRAJARA,282.179,4804,15.68,11.63,1.656.292.581,19662.0,3555505,624,616,UBIRAJARA,UBIRAJARA,DRS 09 Marília
623,UCHOA,252.434,10151,37.51,10.64,3.690.101.191,22187.55,3555604,625,617,UCHÔA,UCHOA,DRS 15 São José do Rio Preto
624,UNIÃO PAULISTA,79.056,1865,20.21,90.91,1.219.537.474,24943.12,3555703,626,618,UNIÃO PAULISTA,UNIAO PAULISTA,DRS 15 São José do Rio Preto
625,URÂNIA,209.262,9120,42.29,10.53,2.228.244.791,23635.22,3555802,627,621,URÂNIA,URANIA,DRS 15 São José do Rio Preto
626,URU,146.901,1153,8.51,90.91,128.089.538,35143.93,3555901,628,619,URU,URU,DRS 06 Bauru
627,URUPÊS,323.916,13888,39.27,6.90,3.802.705.381,28591.76,3556008,629,620,URUPÊS,URUPES,DRS 15 São José do Rio Preto
628,VALENTIM GENTIL,149.741,13532,73.72,10.93,3.359.752.379,24770.24,3556107,630,622,VALENTIM GENTIL,VALENTIM GENTIL,DRS 15 São José do Rio Preto
629,VALINHOS,148.538,131210,718.7,7.18,46.500.677.039,48768.26,3556206,631,623,VALINHOS,VALINHOS,DRS 07 Campinas
630,VALPARAÍSO,857.661,26822,26.33,15.53,7.631.353.161,33427.0,3556305,632,624,VALPARAÍSO,VALPARAISO,DRS 02 Araçatuba
631,VARGEM,142.595,10692,61.71,17.54,2.127.149.876,12706.02,3556354,633,625,VARGEM,VARGEM,DRS 07 Campinas
632,VARGEM GRANDE DO SUL,267.178,43110,146.94,10.79,9.927.163.142,22882.07,3556404,634,626,VARGEM GRANDE DO SUL,VARGEM GRANDE DO SUL,DRS 14 São João da Boa Vista
633,VARGEM GRANDE PAULISTA,42.489,53468,1012.1,8.11,14.051.841.277,40282.68,3556453,635,627,VARGEM GRANDE PAULISTA,VARGEM GRANDE PAULISTA,DRS 01 Grande São Paulo
634,VÁRZEA PAULISTA,35.120,123071,3049.14,15.17,23.574.621.113,23585.08,3556503,636,635,VÁRZEA PAULISTA,VARZEA PAULISTA,DRS 07 Campinas
635,VERA CRUZ,247.716,10823,43.41,09.01,2.598.575.064,13148.65,3556602,637,628,VERA CRUZ,VERA CRUZ,DRS 09 Marília
636,VINHEDO,81.604,80111,779.51,9.50,41.835.627.866,119996.43,3556701,638,629,VINHEDO,VINHEDO,DRS 07 Campinas
637,VIRADOURO,217.726,19017,79.44,8.97,5.160.634.254,18419.26,3556800,639,630,VIRADOURO,VIRADOURO,DRS 05 Barretos
638,VISTA ALEGRE DO ALTO,95.429,8989,72.5,12.20,3.137.457.874,40055.36,3556909,640,631,VISTA ALEGRE DO ALTO,VISTA ALEGRE DO ALTO,DRS 05 Barretos
639,VITÓRIA BRASIL,49.832,1846,34.95,66.67,1.119.787.992,19590.64,3556958,641,632,VITÓRIA BRASIL,VITORIA BRASIL,DRS 15 São José do Rio Preto
640,VOTORANTIM,183.517,123599,591.04,13.64,34.541.468.654,25495.29,3557006,642,633,VOTORANTIM,VOTORANTIM,DRS 16 Sorocaba
641,VOTUPORANGA,420.703,95338,201.15,8.61,27.205.423.556,31244.0,3557105,643,634,VOTUPORANGA,VOTUPORANGA,DRS 15 São José do Rio Preto
642,ZACARIAS,319.056,2752,7.32,32.26,1.871.416.876,32979.59,3557154,644,636,ZACARIAS,ZACARIAS,DRS 15 São José do Rio Preto
643,CHAVANTES,188.727,12418,64.4,5.29,3.434.323.006,16706.08,3557204,133,123,CHAVANTES,CHAVANTES,DRS 09 Marília
644,ESTIVA GERBI,74.144,11407,135.35,7.87,3.542.287.636,29883.47,3557303,174,167,ESTIVA GERBI,ESTIVA GERBI,DRS 14 São João da Boa Vista
