,Municipio,area,Populacao_Estimada,Densidade_Demográfica,Escolarizacao_6_14_anos,IDHM,Mortalidade_Infantil,Receitas_Realizadas,Despesas_empenhadas,PIB
559,SÃO LUIZ DO PARAITINGA,617.315,10690,16.84,100.0,697,8.26,3.556.658.113,3.233.016.485,15394.97
560,SÃO MANUEL,650.734,41123,58.92,97.3,744,9.54,13.071.472.011,1.142.406.622,29556.56
561,SÃO MIGUEL ARCANJO,930.339,33002,33.8,95.9,710,14.22,8.029.668.934,7.310.570.149,20727.11
562,SÃO PAULO,1.521.110,12325232,7398.26,96.0,805,11.19,5.401.099.675.963,5.141.402.907.708,58691.9
563,SÃO PEDRO,611.278,35980,51.98,94.8,755,4.68,13.741.658.565,10.885.813.408,21316.77
564,SÃO PEDRO DO TURVO,731.221,7696,9.84,97.4,703,23.26,2.983.191.661,2.589.361.321,23834.77
565,SÃO ROQUE,306.908,92060,256.82,97.6,768,13.65,26.979.897.123,23.847.189.096,33039.26
566,SÃO SEBASTIÃO,402.395,90328,185.0,98.2,772,7.75,68.372.361.133,64.159.319.352,43173.65
567,SÃO SEBASTIÃO DA GRAMA,252.410,12159,47.94,98.3,701,19.05,3.359.802.654,3.036.808.808,23386.39
568,SÃO SIMÃO,617.252,15385,23.24,99.8,766,15.04,5.430.719.042,4.886.635.085,29049.13
569,SÃO VICENTE,148.100,368355,2247.88,96.7,768,16.10,95.778.542.282,89.572.104.015,15006.76
570,SARAPUÍ,352.592,10390,25.6,99.0,707,8.47,2.841.951.452,2.639.332.905,14289.18
571,SARUTAIÁ,141.608,3630,25.58,98.7,688,17.24,1.552.029.483,1.311.647.751,16875.42
572,SEBASTIANÓPOLIS DO SUL,167.848,3554,18.03,99.0,773,48.78,2.404.580.127,1.881.318.047,71224.85
573,SERRA AZUL,283.144,14981,39.75,96.9,686,7.41,3.023.727.602,2.632.356.501,10758.97
574,SERRANA,126.046,45644,308.44,97.5,729,7.85,12.439.386.169,12.413.069.363,20663.93
575,SERRA NEGRA,203.734,29452,129.52,97.8,767,12.31,10.222.379.222,9.309.180.207,24910.92
576,SERTÃOZINHO,403.089,127142,273.22,98.5,761,15.19,51.989.895.916,43.647.244.101,44163.83
577,SETE BARRAS,1.062.699,12780,12.24,96.1,673,4.95,4.008.521.132,3.669.815.678,28760.76
578,SEVERÍNIA,140.460,17661,110.38,96.0,715,16.22,5.676.233.992,5.337.290.145,13372.83
579,SILVEIRAS,414.782,6339,13.96,98.2,678,14.29,2.425.916.692,2.142.088.003,11685.72
580,SOCORRO,449.029,41352,81.7,97.7,729,12.08,10.373.351.939,9.475.396.146,21180.14
