,Município1,Código Município IBGE,População estimada (2020),UF1,Data,Média de Índice De Isolamento
25261,INDAIATUBA,3520509,256223,SP,"sexta-feira, 14/05",37%
25534,INDAIATUBA,3520509,256223,SP,"sexta-feira, 14/08",42%
25380,INDAIATUBA,3520509,256223,SP,"sexta-feira, 15/01",38%
25625,INDAIATUBA,3520509,256223,SP,"sexta-feira, 15/05",47%
25289,INDAIATUBA,3520509,256223,SP,"sexta-feira, 16/04",41%
25198,INDAIATUBA,3520509,256223,SP,"sexta-feira, 16/07",39%
25471,INDAIATUBA,3520509,256223,SP,"sexta-feira, 16/10",42%
25653,INDAIATUBA,3520509,256223,SP,"sexta-feira, 17/04",49%
25562,INDAIATUBA,3520509,256223,SP,"sexta-feira, 17/07",45%
25226,INDAIATUBA,3520509,256223,SP,"sexta-feira, 18/06",38%
25499,INDAIATUBA,3520509,256223,SP,"sexta-feira, 18/09",39%
25408,INDAIATUBA,3520509,256223,SP,"sexta-feira, 18/12",39%
25345,INDAIATUBA,3520509,256223,SP,"sexta-feira, 19/02",36%
25317,INDAIATUBA,3520509,256223,SP,"sexta-feira, 19/03",40%
25590,INDAIATUBA,3520509,256223,SP,"sexta-feira, 19/06",46%
25681,INDAIATUBA,3520509,256223,SP,"sexta-feira, 20/03",47%
25436,INDAIATUBA,3520509,256223,SP,"sexta-feira, 20/11",38%
25254,INDAIATUBA,3520509,256223,SP,"sexta-feira, 21/05",37%
25527,INDAIATUBA,3520509,256223,SP,"sexta-feira, 21/08",42%
25373,INDAIATUBA,3520509,256223,SP,"sexta-feira, 22/01",37%
25618,INDAIATUBA,3520509,256223,SP,"sexta-feira, 22/05",47%
25282,INDAIATUBA,3520509,256223,SP,"sexta-feira, 23/04",41%
25464,INDAIATUBA,3520509,256223,SP,"sexta-feira, 23/10",39%
25646,INDAIATUBA,3520509,256223,SP,"sexta-feira, 24/04",49%
25555,INDAIATUBA,3520509,256223,SP,"sexta-feira, 24/07",42%
25219,INDAIATUBA,3520509,256223,SP,"sexta-feira, 25/06",38%
25492,INDAIATUBA,3520509,256223,SP,"sexta-feira, 25/09",38%
25401,INDAIATUBA,3520509,256223,SP,"sexta-feira, 25/12",46%
25338,INDAIATUBA,3520509,256223,SP,"sexta-feira, 26/02",37%
25310,INDAIATUBA,3520509,256223,SP,"sexta-feira, 26/03",41%
25583,INDAIATUBA,3520509,256223,SP,"sexta-feira, 26/06",46%
25674,INDAIATUBA,3520509,256223,SP,"sexta-feira, 27/03",55%
25429,INDAIATUBA,3520509,256223,SP,"sexta-feira, 27/11",38%
25699,INDAIATUBA,3520509,256223,SP,"sexta-feira, 28/02",35%
25247,INDAIATUBA,3520509,256223,SP,"sexta-feira, 28/05",37%
25520,INDAIATUBA,3520509,256223,SP,"sexta-feira, 28/08",40%
25366,INDAIATUBA,3520509,256223,SP,"sexta-feira, 29/01",38%
25611,INDAIATUBA,3520509,256223,SP,"sexta-feira, 29/05",47%
25275,INDAIATUBA,3520509,256223,SP,"sexta-feira, 30/04",40%
25457,INDAIATUBA,3520509,256223,SP,"sexta-feira, 30/10",38%
25548,INDAIATUBA,3520509,256223,SP,"sexta-feira, 31/07",42%
25274,INDAIATUBA,3520509,256223,SP,"sábado, 01/05",41%
25547,INDAIATUBA,3520509,256223,SP,"sábado, 01/08",46%
25393,INDAIATUBA,3520509,256223,SP,"sábado, 02/01",48%
25638,INDAIATUBA,3520509,256223,SP,"sábado, 02/05",54%
